no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
30,大数据运维,观安信息,16-22K·13薪,3-5年,本科,上海·静安区·汶水路,"实施交付运维,MySQL/Oracle,大数据运维经验,Python/Shell",,,https://www.zhipin.com/job_detail/5d187156ccca8e571HR43tu0EVJS.html?lid=EOKPy1wZZP.search.90&securityId=OER1mbtz6e41J-51g_Lurv-ZMFtZTm3mX_UEDPG68aGi5Huqo_VejUMJ_D9u6EmfjykdHYj6o6GHtoTTz3bPAXhaS__r236mmfmE7R5yKzCwrhG2Zg~~&sessionId=
1,大数据架构,九米,30-55K·15薪,5-10年,本科,上海·浦东新区·张江,"Spark,Kafka,Storm,Flume,Impala,Oozie,Hbase,大数据架构","['岗位职责：', '1、基于hadoop生态的大数据平台搭建和部署，性能调优工作；', '2、承担大数据平台项目的数据采集、存储、分析、BI应用分析工作；', '3、负责离线与流式数据的采集、清洗、转换和计算的设计和开发；', '4、负责大数据平台的数据仓库的设计和开发工作；', '5、负责完善大数据平台相关制度及应用规范；', '任职要求：', '1、计算机或者相关专业本科及以上学历，5年以上相关工作经验；', '2、熟悉linux，具有良好的编程习惯和算法基础 ；', '3、熟悉大数据开发相关技术，如hadoop、hive、spark、impala、storm、hbase、oozie、hue、zookeeper、kafka、flume等 ；', '4、熟悉大数据仓库建设，有BI开发经验，对多维数据建模有深入理解，有kylin、saiku、mondrian、metebase经验的优先考虑；', '5、精通Java、Python、Scala中至少一门开发语言，并能熟练编写数据应用程序；', '6、强烈的责任意识，有进取心，有较强的学习能力，理解能力，沟通能力，表达能力。']",上海浦东新区光大安石科技园1,https://www.zhipin.com/job_detail/e35123049a5bf91c1nZ62N68FlpW.html?lid=DcUCNAVDBp.search.91&securityId=XL3ucylBXsRqK-U1s2sFvKj49eskZqHjOBMPMY_lMIJS7Jim6rHNbvQthvo49IrA2_oEZNPj9KQdVpX3qDZI8DZlMUDusTKTLj5PkplnBzGMzvsUzQ~~&sessionId=
2,大数据开发,上海直真君智,12-20K·14薪,5-10年,本科,上海·徐汇区·康健,"大数据开发经验,数仓建设经验,计算机相关专业,Scala","['工作内容：', '1. 负责高性能、高可用的大数据数据处理与分析paas软件的研发。', '负责基于Hadoop/Spark平台架构的开发、设计和布局\xa0；', '2、\xa0针对海量的用户行为数据进行统计、分析与挖掘，不断提高系统运行效率；', '3、\xa0负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑；', '4、\xa0负责大数据平台的性能监控和持续优化；针对需求提供大数据分析技术解决方案\xa0；', '5、\xa0大数据平台的运维工作，持续完善大数据平台，保证稳定性、安全性。', '6、能进行项目技术指导，解决技术难题，有带团队经验更佳。', '任职要求：', '1. 5年以上工作经验，计算机相关专业本科以上；', '2. 精通Hadoop大数据平台架构，具有扎实的Scala/Java等开发语言；并可以开发高效可靠的代码；', '3. 了解分布式系统、大数据平台，有完整的数据工程项目经验，具备一定的框架设计以及抽象能力；', '4. 熟悉spark、Hive、storm等计算框架者优先，对分布式存储和计算原理有较深的理解；', '5. 良好的团队精神以及合作意识，热爱技术，高度自驱，追求卓越，对数据敏感；', '6. 对批量计算、流式计算、时序数据处理、存储引擎、资源调度等一项或多项有深入理解优先', '说明：自研项目非外包，但此岗位会有出差，面试前需要做一个笔试题，介意勿扰，']",上海徐汇区创好业(虹梅商务大厦店)746室,https://www.zhipin.com/job_detail/52e14c0cf3571c841XN_2t61EVNU.html?lid=DcUCNAVDBp.search.92&securityId=nb2BX6X6wErns-515gSh3AA9EGeUCeWohaVWcyveRB9p7IZWIWhrwps4BHaSmQOwxjA89jbLAvlGQCNBQfjIys4ZZdKhJuKZHRWUKA0IGqAgiI2nXQ~~&sessionId=
3,大数据开发,枫菁科技,15-30K·13薪,3-5年,本科,上海,"数据开发,数据挖掘,SQL,Python",,,https://www.zhipin.com/job_detail/d519b004c741c3ff1nV52d-6GFVX.html?lid=DcUCNAVDBp.search.93&securityId=XqocfPXThyqjH--1vnNvG1ci3KNAT9AaGqOTsHsg28am9R7Q_hhtOotG9lQAZsTjo23ibYGcs47pahtbsKOfxQOydvyyMotuj__WY1NwOWMJ9GzfOg~~&sessionId=
4,大数据leader,MobTech,40-55K·14薪,5-10年,本科,上海·徐汇区·田林,"SQL,Scala,Spark,Kafka,Hadoop,Flink","['工作职责:', '1. 根据公司各业务线数据需求，提供建设性的反馈和意见，为业务线数据价值挖掘提供指导', '2. 根据公司现有数据采集、数据处理及应用价值链，架构数仓和数据集市的范围、定义及标准', '3. 和数据分析一起，规划数仓的整体路线及实施节奏，确保中长期目标满足公司发展需要', '4. 兼具成本和灵活度的架构下，主导数仓从数据分层、主题域建立等，为数仓上线后的质量和效果负责', '5. 建立并培养数仓开发团队，打造高度符合公司文化的团队氛围，为各业务线数仓开发结果负管理和直接责任', '任职资格:', '1.本科及以上，计算机相关专业；5年以上数仓的相关工作经验。', '2.具备PB级数仓搭建或维护经验，及非常扎实的hive sql，spark sql及scala技术功底', '3.熟悉开源大数据平台生态，包括且不限于Flink、Hive、Hadoop、Kafka、HBase、ClickHouse等。', '4.具备10人左右团队管理能力 、人才培养和引入经验及正规的产研流程标准', '5.具备良好的逻辑思维能力，很强的学习、分析和解决问题能力，良好的沟通能力和协作精神。', '6.有IDmapping项目经验者优先。']",上海徐汇区上海游昆信息技术有限公司B3,https://www.zhipin.com/job_detail/0f76eb8afbab100b1Xd-3tu1FFJZ.html?lid=DcUCNAVDBp.search.94&securityId=uqohlFLVHJkPf-R1_4kVYLiRwNvnvLZUEvrXHKSuiiFZHvH7ir-OkF9_V-SyCMQ0Wh-JVdPMlxHGh63Z4mg1y8M8xkbo9-hBueVvEhZdmcDkckru&sessionId=
5,大数据测试开发,阿里巴巴集团,18-30K·15薪,3-5年,本科,上海·普陀区·长征,"测试工程师,SQL,大数据,自动化测试,Java,Jmeter",,,https://www.zhipin.com/job_detail/4b018992c97da53233xz2tq_FVY~.html?lid=DcUCNAVDBp.search.95&securityId=MidN1M-P2GT1K-T1r-TIn0MIM9AX74sOUpbvtDgpSq4LylWftTOKfAe2P4rVMLwWTlbROxFY7l0lb-RfTy2cA1sHp_Lhijz6OR1Gc2xTRIB7&sessionId=
6,大数据架构师,得物App,30-60K·16薪,经验不限,本科,上海·杨浦区·东外滩,"Spark,Hadoop,Kafka,HDFS,Yarn,Impala,HIVE,Presto",,,https://www.zhipin.com/job_detail/d46b32ecdbfe991c1nF_2ty0F1BT.html?lid=DcUCNAVDBp.search.96&securityId=q6ekeP9Yn6OLe-b1EeZvS9yLBQI32lzCp4PEO_IbjGYbPEELcfeaOv5WtFMZbFsCQzuuruQTc0VANz22NXw08w4OWiDXugdQRAIsBx3boti7eIdIulg~&sessionId=
7,大数据运维岗位,深银信投资,15-30K,3-5年,本科,上海·长宁区·北新泾,网络运维,"['1、2年以上大数据或数据仓库运维经验；', '  2、精通Linux操作系统，熟悉java、python，有良好的编码规范；（注意：根据实际情况确定是JAVA还是python）；', '  3、熟悉Hadoop/Hbase/Hive/kafka/Zookeeper/Spark/flink等开源项目，熟悉其运行机制和体系结构；', '  4、熟悉kafka消息服务，以及基于kafka的日志流系统，熟悉flume，fluentd，logstash等高可用日志系统；', '  5、熟悉阿里云、AWS等公有云，拥有容灾建设、重大故障恢复、自动化运维建设等项目经验；', '  6、熟悉Linux操作系统的配置、管理及优化，能够独立排查及解决操作系统层面的问题；', '  7、良好的服务意识，强烈的责任心，执行力强，富有团队合作精神；']",上海长宁区IBP品尚都汇通协路268号,https://www.zhipin.com/job_detail/7645d54720b0ab911XN829i0GFNY.html?lid=DcUCNAVDBp.search.97&securityId=L3-j7E5yBjMit-91aaJtSZGaRdMOy9gMrExHR12egzVITO08pubGnxIKzGRO2LQzxR1mR4ntME25I5855AC6OOlcjOiacHyF-E9iAW_Wa0IsabIjYHvD&sessionId=
8,大数据应用运维,旷信科技,15-16K,经验不限,大专,上海·静安区·南京西路,"系统运维,实施交付运维","['职责:', '1、负责大数据平台架构的规划、设计、搭建;', '2、负责大数据平台的运维保障工作:', '3、负责运维相关数据分析，以及报表产出;', '4、为线上服务高效稳定运行负责，支撑业务和数据量的快速扩张:', '5、深入理解人数据平台架构，发现并解决重大故障及性能瓶颈', '6、研究跟进大数据架构领域新技术并分享', '工作要求:', '1、熟悉大数据产品生态圈，包括但不限于HDFS、YARN、Hive、HBase、Spark', '2、精通Linux/Unix系统', '3、有数据分析经验优先，精通一门以上脚本语言(shell/perl/python等)，熟悉javaC/C++/Golang等开发语言一种及以上;', '4、有2年以上大数据平台相关运维开发经验，了解分布式平台运行的原理，并有实际部署维护经验,', '5、学习能力和主动性强，具有钻研精神，充满激情，乐于接受挑战;', '6、良好的服务意识，善于团队协作，项目管理，主动思考，自我驱动力强']",上海静安区上海国际集团大厦/,https://www.zhipin.com/job_detail/0d9c904b0af6bcce1X182dS6GVtW.html?lid=DcUCNAVDBp.search.98&securityId=YweJnkTZzkTYW-G1a9OrlmeABCRnSd-I1pSLZPE9jddjjhiyZHxU6YNm2tWlUVtHFhVo9rvggTwGHMtxLQYKI2NJuJ9u8WCjOzOyT732qz8g9ObG3Q~~&sessionId=
9,大数据产品经理,上海腾道,25-40K·15薪,经验不限,本科,上海·浦东新区·陆家嘴,"大数据产品,数据分析,产品设计,Axure,Visio,HBase","['注：本岗位配以股权激励', '岗位职责：', '1、负责公司数据治理平台的调研分析，用户体验设计，需求撰写规划、实施及产品的持续优化改进；', '2、能敏锐把握用户需求，概括业务流程、提出产品设想和方案，设计原型图、撰写PRD文档；', '3、参与项目计划，能与UI设计、技术开发及测试团队进行良好的沟通协作，管理和把控项目进度，保证项目按时顺利上线；', '4、跟踪各渠道用户反馈，根据数据、业务及需求的变化，调整、完善产品方案及UI设计；', '5、负责用户手册及帮助文档；', '任职要求：', '1、计算机、数学、信息管理类相关专业全日制本科及以上学历；', '2、具有三年以上产品原型设计经验，两年以上大数据相关产品设计经验，对大数据有一定的认识和理解，能够独立从事产品规划和设计；', '3、具备良好的书面表达能力、逻辑思维能力、产品（业务需求）分析能力与设计思路， 熟练使用原型工具Axure、使用Visio或其他工具制作流程图，熟悉Word、Excel、PowerPoint等软件工具； ', '4、熟悉大数据架构体系，对Hadoop、Hdfs、MapReduce、HBase、Hive、Spark、Kafka、Flume等组件/技术中的一个或者多个有深入理解；', '5、组织和推动产品与研发团队的协同工作，对用户户界面设计、交互设计等进行把关，确保产品质量、项目进度；', '6、思维活跃，具备很强的创新能力和执行力，团队合作精神强。']",上海浦东新区浦江21620,https://www.zhipin.com/job_detail/854f925742a9e2961nBz2t24EVNY.html?lid=DcUCNAVDBp.search.99&securityId=4aFbFiXi2gsLm-M1YWmh7Ib9ix93qfRBIsSeKb_ag5LNd_jllwvx07zX9fN-F_XcNucwQTR4wBUEC9MmUyefReMYe_T2bIIDo_0SYiWzRhyEBGr2mQ~~&sessionId=
10,大数据开发,上海斑贝,25-40K,1-3年,本科,上海·徐汇区·漕河泾,数据分析,,,https://www.zhipin.com/job_detail/ecacd1a7d7f4fe010HZ72Nm7ElU~.html?lid=DcUCNAVDBp.search.100&securityId=m6HpzgYSpw4pO-z1EVv1JSBaSNY_pW9lWZGEOSYHB9WH8CnPYz9GRhODD_XTm8F7SoAShENN_LmPfh0GSAn-WpD0mqw1a8_2QO0inY3f0WWyKCKz&sessionId=
11,大数据开发,鹿游网络科技有限公司,200-250元/天,3天/周,3个月,上海·闵行区·虹桥,"大数据开发经验,计算机相关专业,数学/统计相关专业",,,https://www.zhipin.com/job_detail/c55341b19f7ab59f1X173NW_ElRY.html?lid=DcUCNAVDBp.search.101&securityId=zeKmrrwXHCwdQ-K141_T4fWFHaVZ4M04TqZUzga3CFQjv_ORSHl2C0LAlXYUnqyVs8iUsJCQ_gisQnOb-6L3m_VLOuOkV43fSIpyEVsuWfcJ3vryh1w~&sessionId=
12,大数据专家,碧桂园服务集团,20-30K·17薪,5-10年,本科,上海·浦东新区·碧云,数据分析,,,https://www.zhipin.com/job_detail/6a974505db46858d1X1z29m7F1NZ.html?lid=DcUCNAVDBp.search.102&securityId=8DU6YJAgMo2di-o1L5sV4kDLrwg4xVg35mZFqj-oCo_z09OVxnqEilgPPOfx4ohSDZ_aDVNS33HDsjCbnl7ncKJDDPObu6wnY9Va6dq4T-WXvfF1dXw~&sessionId=
13,大数据开发,天阳科技,14-16K,3-5年,本科,上海·浦东新区·曹路,大数据平台架构经验,,,https://www.zhipin.com/job_detail/82e57c33adc079941HV73N68FVJX.html?lid=DcUCNAVDBp.search.103&securityId=gP29l52clfE5E-T14QGKqNj14_oXtABWyiRuZgZQVRn6xbmeOGFcMKIcyqcJ3rhDH2pkuFyFMEwCGmbmnk2itS_4KvW8nA6F_t8WRup4EV-vVQitrvArnnz7g-1L1YVvJri0LKG5jQLl0Ciqcq-1&sessionId=
14,大数据产品经理,吉利控股集团,20-35K,5-10年,本科,上海·徐汇区·龙华,"市场调研,用户研究,数据分析,Axure,Visio",,,https://www.zhipin.com/job_detail/0013eb199b5708cb1XJ839i1GFdX.html?lid=DcUCNAVDBp.search.104&securityId=Jz-5umfH7xnLm-Z1fAT7e1gcYOmM0P8lC9IokG-Wqt52a0Mr1eYdgKRJB2hbAMU4Y50Y4Co5BWKT2mMTK8Wwwwnb8U5F3sHJdHCjNkubXCUhnDM~&sessionId=
15,大数据架构师,富通科技,20-28K,5-10年,本科,上海,"Python,Java,大数据平台架构经验,数仓建设经验",,,https://www.zhipin.com/job_detail/296d1cc8833b0da41HR70tS5FlpW.html?lid=DcUCNAVDBp.search.105&securityId=bl4Pvr2MXeexi-P1e9XSgLIPlUeee7lqVL5ZvzamnfMrSdeeZ-X_zrVdGGdA92xqxvq6gstGeoTPlDH20HNI90-IxdT5pVA8MHMFLd48YZDnYp1B&sessionId=
16,大数据产品经理,上海思亮,20-40K,3-5年,本科,上海,"B端产品,高级产品经理",,,https://www.zhipin.com/job_detail/404d6736cae04f471Xx73t2_FlJR.html?lid=DcUCNAVDBp.search.106&securityId=g4VZqlX683Sz6-O14wIby0sbazpOITRYOaWIuH0s8C4vftFQ-6Bqr6zc1RkjAazbZ3mSbYCcb5iVGwLTEOJeDEdRf9POH_L6r-RyWvapy1qfmRE~&sessionId=
17,资深大数据工程师,凯智信息,22-40K·13薪,5-10年,本科,上海·徐汇区·漕河泾,"Spark,Kafka,HDFS,Impala,Streaming,Flink,Java,架构",,,https://www.zhipin.com/job_detail/f858c05a4cd955f11nB52dS4GVBR.html?lid=DcUCNAVDBp.search.107&securityId=_xprXxjtKi_uH-s1OZIK_09BVTh9q9ddmmw7RSjWt5GJV5Mm_Lp0HQhAU-yfKE6uRn5t1O8AEuvT1cpfljMpIpD-cb5-Tz6EBP8mW02gayh_vgOhDMQ~&sessionId=
18,大数据运维专家,天风证券,35-45K·15薪,5-10年,本科,上海·虹口区·北外滩,"HIVE,Hadoop,Azkaban,Sqoop,HDFS,Yarn","['岗位职责：', '1、负责数据平台、包括大数据平台、实施数据平台和数据中台的架构规划；', '2、负责大数据研发体系和规范的设和建设，并指导初级人员；', '3、对接相关方，负责数据平台的运维等工作；', '4、对数据平台安全保障方面进行研究和设计，保障平台数安全。', '职位要求：', '1、大学本科或以上学历，计算机、统计学、信息管理等相关专业，具备5年以上工作经验；', '2、有强烈的责任心和团队合作精神、具备良好的沟通能力以及快速学习的能力；', '3、具有3年以上大数据项目建设工作经验，负责过大数据运维工作者优先；', '4、熟悉Hadoop架构与生态圈，对核心组件有过深入研究和开发经验者优先；', '5、精通SQL，熟悉一门或多门通用编程语言（如Java/Scala/Python等）；', '6、具备快速学习能力，能快速掌握新的开源技术框架，具有行业发展的前瞻性思维。']",上海虹口区天风证券678号2楼,https://www.zhipin.com/job_detail/e4c33361d9af403f1XV-2di_EldV.html?lid=DcUCNAVDBp.search.108&securityId=fE4fDLq8Z110F-e1eQMdnqmChy0JqY9Pu7JqMVUT8HplL7A94hQnq0GX1Yf2Q9vW41Y9ruHl52_lkBxsPVgBou7SK--UhwQr2fYZwmFedSaRA9q0qA~~&sessionId=
19,大数据/数据库引擎开发,天翼云科技公司,28-55K·16薪,5-10年,本科,上海·浦东新区·康桥,"C++服务端开发经验,C++,引擎,mpp,大数据","['目标： OLAP /实时数仓 核心开发，打造新一代的亚秒级/准实时的 数据分析/批处理系统', '要求： ', '1. 精通c/cpp或java， 扎实的编程功底，良好的数据结构/算法/ACM 功底', '2. 扎实的系统/网络编程、高性能高并发功底，有编译原理或虚拟机/llvm等底层系统开发经验者优先', '3. 精通 SQL，熟悉 parser/词法&语法解析、planner逻辑/物理计划、optimizer/优化器，或调度优化/稳定性治理， mpp执行引擎、代码生成/矢量化、性能优化 等至少一个模块', '4. 熟悉或做过 湖仓一体&存储系统、meta系统、备份/还原/导入&导出 等至少某一模块', '5. 熟悉业界生态 如OLAP 系统如gp/teradata、类snowflake/databrick 、国内实时数仓厂商等优先']",上海浦东新区中国电信信息园(秀沿西路)25号楼,https://www.zhipin.com/job_detail/7355f88be49cf1941HR52Nu_F1tU.html?lid=DcUCNAVDBp.search.109&securityId=ZNtlWRVV2Hy0w-11A0DL7m5Ez8bRBaa-KbnBa3FTrqwVXRoiww_jFg5IqCZFVK_HSo3aMgjB9BIc9SBrClZMRnGADrODCM0JYM8lSsk5zYsyycJSwA~~&sessionId=
